id,name,group
1,Соколов Наталья,IT-21
2,Кузнецов Юлия,ML-31
3,Морозов Михаил,IT-31
4,Беляков Ирина,IT-23
5,Зайцев Ольга,IT-22
6,Сидоров Иван,ML-22
7,Фёдоров Михаил,IT-21
8,Орлов Елена,DATA-31
9,Медведев Михаил,ML-32
10,Ершов Виктория,IT-21
11,Емелянов Алиса,ML-21
12,Зайцев Светлана,WEB-22
13,Морозов Андрей,ML-22
14,Павлов Алиса,IT-31
15,Козлов Сергей,IT-31
16,Ершов Валерий,WEB-31
17,Кузнецов Татьяна,IT-22
18,Медведев Юлия,IT-31
19,Козлов Валентина,IT-23
20,Лебедев Елена,WEB-31
21,Орлов Ольга,IT-23
22,Новиков Петр,ML-31
23,Лебедев Алиса,IT-23
24,Смирнов Полина,IT-31
25,Кузнецов Игорь,CLOUD-21
26,Ефимов Наталья,WEB-31
27,Никитин Владимир,WEB-31
28,Новиков Николай,ML-32
29,Новиков Светлана,IT-23
30,Дмитриев Татьяна,ML-21
31,Беляков Елена,ML-31
32,Медведев Владимир,DATA-21
33,Дмитриев Андрей,ML-31
34,Павлов Ирина,IT-22
35,Ефимов Михаил,IT-22
36,Павлов Виктория,DATA-21
37,Сидоров Андрей,ML-22
38,Карпов Валентина,WEB-22
39,Дмитриев Николай,CLOUD-22
40,Ильин Игорь,CLOUD-21
41,Кузнецов Дмитрий,IT-32
42,Беляков Михаил,ML-32
43,Карпов Юлия,DATA-31
44,Карпов Снежана,DATA-21
45,Смирнов Валерий,IT-32
46,Александров Мария,IT-23
47,Петров Алиса,IT-31
48,Дмитриев Дмитрий,ML-21
49,Новиков Виктория,DATA-31
50,Сидоров Татьяна,DATA-21
51,Синцов Игорь,CLOUD-21
52,Кузнецов Мария,IT-21
53,Беляков Ирина,IT-31
54,Ильин Ирина,ML-32
55,Дмитриев Алиса,WEB-22
56,Лебедев Александр,DATA-31
57,Медведев Владимир,IT-21
58,Ильин Юлия,ML-32
59,Белов Мария,ML-21
60,Соколов Мария,WEB-21
61,Дмитриев Дарья,ML-22
62,Никитин Дмитрий,ML-21
63,Белов Елена,IT-21
64,Павлов Татьяна,CLOUD-22
65,Соколов Иван,WEB-31
66,Ефимов Снежана,WEB-21
67,Петров Михаил,ML-31
68,Карпов Снежана,IT-23
69,Беляков Сергей,CLOUD-22
70,Сидоров Дарья,IT-32
71,Новиков Дмитрий,CLOUD-22
72,Волков Елена,ML-32
73,Ершов Мария,DATA-31
74,Федосеев Николай,ML-22
75,Лебедев Светлана,DATA-21
76,Дмитриев Ирина,WEB-31
77,Ильин Виктор,CLOUD-21
78,Смирнов Александр,ML-31
79,Павлов Сергей,IT-21
80,Федосеев Ольга,ML-31
81,Смирнов Ольга,IT-21
82,Соколовский Сергей,IT-22
83,Сидоров Михаил,IT-22
84,Павлов Полина,IT-23
85,Смирнов Мария,ML-32
86,Александров Ирина,ML-22
87,Морозов Елена,CLOUD-22
88,Емелянов Михаил,CLOUD-22
89,Зайцев Виктория,ML-22
90,Соколов Александр,DATA-31
91,Зайцев Валерий,DATA-31
92,Ершов Виктор,IT-22
93,Дмитриев Ирина,IT-31
94,Козлов Петр,WEB-22
95,Ершов Виктория,IT-31
96,Орлов Михаил,ML-22
97,Медведев Елена,IT-32
98,Волков Марк,ML-32
99,Смирнов Виктор,IT-23
100,Емелянов Виктор,IT-31
101,Дмитриев Петр,IT-21
102,Белов Сергей,ML-31
103,Зайцев Владимир,CLOUD-22
104,Орлов Анна,DATA-21
105,Петров Снежана,ML-21
106,Иванов Игорь,DATA-21
107,Емелянов Андрей,CLOUD-21
108,Зайцев Павел,CLOUD-22
109,Орлов Дмитрий,WEB-21
110,Петров Николай,IT-22
111,Павлов Юлия,IT-22
112,Карпов Петр,CLOUD-22
113,Ершов Мария,ML-21
114,Фёдоров Петр,IT-23
115,Волков Полина,IT-23
116,Сидоров Татьяна,ML-31
117,Соколов Игорь,ML-31
118,Синцов Ольга,IT-22
119,Сидоров Татьяна,DATA-31
120,Карпов Ирина,WEB-22
